Variable;ID_Hex;Tipo;Byte_Start;Bit_Start;Factor;Offset;Grupo_Tiempo;CAN_Bus
errorAmkFL;100;bit;2;0;1;0;;CAN C
enableAmkFL_b6;100;bit;2;0;1;0;;CAN C
enableAmkFL_b7;100;bit;2;0;1;0;;CAN C
deratingAmkFL;100;bit;2;0;1;0;;CAN C
tempMotorFL;101;int16;1;0;0.1;0;;CAN C
tempColdPlFL;101;int16;3;0;0.1;0;;CAN C
tempIGBTFL;101;int16;5;0;0.1;0;;CAN C
wFL;102;int32;1;0;0.000010472;0;t_Inverters;CAN C
torFL;102;int16;5;0;0.0098;0;t_Inverters;CAN C
errorAmkFR;104;bit;2;0;1;0;;CAN C
enableAmkFR_b6;104;bit;2;0;1;0;;CAN C
enableAmkFR_b7;104;bit;2;0;1;0;;CAN C
deratingAmkFR;104;bit;2;0;1;0;;CAN C
tempMotorFR;105;int16;1;0;0.1;0;;CAN C
tempColdPlFR;105;int16;3;0;0.1;0;;CAN C
tempIGBTFR;105;int16;5;0;0.1;0;;CAN C
wFR;106;int32;1;0;0.000010472;0;t_Inverters;CAN C
torFR;106;int16;5;0;0.0098;0;t_Inverters;CAN C
errorAmkRL;108;bit;2;0;1;0;;CAN C
enableAmkRL_b6;108;bit;2;0;1;0;t_AMK_States;CAN C
enableAmkRL_b7;108;bit;2;0;1;0;t_AMK_States;CAN C
deratingAmkRL;108;bit;2;0;1;0;;CAN C
tempMotorRL;109;int16;1;0;0.1;0;;CAN C
tempColdPlRL;109;int16;3;0;0.1;0;;CAN C
tempIGBTRL;109;int16;5;0;0.1;0;;CAN C
wRL;110;int32;1;0;0.000010472;0;t_Inverters;CAN C
torRL;110;int16;5;0;0.0098;0;t_Inverters;CAN C
IqRL;111;int16;1;0;0.00654296875;0;;CAN C
IdRL;111;int16;3;0;0.00654296875;0;;CAN C
errorAmkRR;112;bit;2;0;1;0;;CAN C
enableAmkRR_b6;112;bit;2;0;1;0;;CAN C
enableAmkRR_b7;112;bit;2;0;1;0;;CAN C
deratingAmkRR;112;bit;2;0;1;0;;CAN C
tempMotorRR;113;int16;1;0;0.1;0;;CAN C
tempColdPlRR;113;int16;3;0;0.1;0;;CAN C
tempIGBTRR;113;int16;5;0;0.1;0;;CAN C
wRR;114;int32;1;0;0.000010472;0;t_Inverters;CAN C
torRR;114;int16;5;0;0.0098;0;t_Inverters;CAN C
IqRR;115;int16;1;0;0.00654296875;0;;CAN C
IdRR;115;int16;3;0;0.00654296875;0;;CAN C
controlError;120;uint8;8;0;1;0;;CAN C
vx_est;122;int16;1;0;0.01;0;;CAN C
vy_est;122;int16;3;0;0.01;0;;CAN C
yaw_rate_est;122;int16;5;0;1;0;;CAN C
apps1_raw;130;uint16;1;0;0.01;0;;CAN A
apps2_raw;131;uint16;1;0;0.01;0;;CAN A
extRLraw;132;int16;1;0;1;0;t_Extensores;CAN A
extRRraw;132;int16;3;0;1;0;t_Extensores;CAN A
extFLraw;133;int16;1;0;1;0;t_Extensores;CAN A
extFRraw;133;int16;3;0;1;0;t_Extensores;CAN A
steer;134;int16;1;0;0.000033527;-0.4064;;CAN A
rawExt;134;int16;1;0;1;0;;CAN A
bpfront;135;uint16;1;0;0.04125;-100;;CAN A
bprear;136;uint16;1;0;0.04125;-100;;CAN A
pneum1;137;uint16_be;1;0;1;0;;CAN A
pneum2;137;uint16_be;3;0;1;0;;CAN A
load_cell;138;int16;1;0;1;0;;CAN A
rdynRR;13B;int16;1;0;0.973579;30.23;;CAN A
rdynRL;13B;int16;3;0;0.945518;43.52;;CAN A
TInsFL;142;uint16;1;0;1;0;;CAN A
TInsFR;142;uint16;3;0;1;0;;CAN A
TInsRL;142;uint16;5;0;1;0;;CAN A
TInsRR;142;uint16;7;0;1;0;;CAN A
bmsRelayStatus;151;uint8;1;0;1;0;t_BMS;CAN C
current;152;int32;3;0;0.001;0;;CAN C
vehSideVolt;153;int32;3;0;0.001;0;;CAN C
tempBat;153;uint8;3;0;1;0;;CAN C
batVolt;154;int32;3;0;0.001;0;;CAN C
bmsStatus;154;uint8;1;0;1;0;;CAN C
bmsVoltageStatus;154;bit;1;0;1;0;t_BMS;CAN C
bmsTempStatus;154;bit;1;0;1;0;t_BMS;CAN C
bmsCurrentStatus;154;bit;1;0;1;0;t_BMS;CAN C
bmsIsabellenhuette;154;bit;1;0;1;0;t_BMS;CAN C
bmsMaxMinVoltage;154;bit;1;0;1;0;;CAN C
elecPower;155;int32;3;0;1;0;;CAN C
asms_on;161;uint8;1;0;1;0;;CAN A
as_status;161;uint8;2;0;1;0;;CAN A
sdc_closed;164;uint8;1;0;1;0;;CAN A
sdc_open;165;bit;1;0;1;0;;CAN A
asms_on_2;165;bit;1;0;1;0;;CAN A
ebs_press;165;bit;1;0;1;0;;CAN A
lvVoltage;185;int16;1;0;0.001;0;;CAN C
lvCurrent;185;int16;3;0;0.001;0;;CAN C
res_range;18B;uint8;7;0;1;0;;CAN C
vxGSS;1A0;int16;1;0;0.005555555;0;t_GSS_vel;CAN B
vyGSS;1A0;int16;3;0;0.005555555;0;t_GSS_vel;CAN B
slipAngleGSS;1A0;int16;7;0;0.003;0;;CAN B
rollGSS;1A2;int16;1;0;0.00005235987;0;;CAN B
pitchGSS;1A2;int16;3;0;0.00005235987;0;;CAN B
axGSS;1A3;int16;1;0;0.02;0;;CAN B
ayGSS;1A3;int16;3;0;0.02;0;;CAN B
azGSS;1A3;int16;5;0;0.02;0;;CAN B
yawRateGSS;1A4;int16;5;0;0.00034907;0;t_GSS_rate;CAN B
statusGSS;1AB;bit;2;0;0.1;0;t_GSS_status;CAN B
tempGSS;1AB;int16;3;0;0.1;0;t_GSS_status;CAN B
illuOnGSS;1AB;bit;2;0;0.1;0;;CAN B
illuOkGSS;1AB;bit;2;0;0.1;0;;CAN B
ax_IMU;1B0;int16;1;0;0.01;0;;CAN B
ay_IMU;1B0;int16;3;0;0.01;0;;CAN B
az_IMU;1B0;int16;5;0;0.01;0;;CAN B
roll_rate_IMU_raw;1B1;int16;1;0;1;0;t_IMU;CAN B
pitch_rate_IMU;1B1;int16;3;0;1;0;;CAN B
yaw_rate_IMU_raw;1B1;int16;5;0;1;0;t_IMU;CAN B
roll_angle_IMU;1B2;int16;1;0;0.00000174532;0;;CAN B
pitch_angle_IMU;1B2;int16;3;0;0.00000174532;0;;CAN B
yaw_angle_IMU;1B2;int16;5;0;0.0001;0;t_IMU;CAN B
latitude_GPS;1B3;int32;1;0;0.00000000174532925199;0;t_GPS;CAN B
longitude_GPS;1B3;int32;5;0;0.00000000174532925199;0;t_GPS;CAN B
v_north_GPS;1B4;int16;1;0;0.01;0;;CAN B
v_east_GPS;1B4;int16;3;0;0.01;0;;CAN B
v_down_GPS;1B4;int16;5;0;0.01;0;;CAN B
TcmdFL;200;int16;3;0;0.0098;0;;CAN A
TcmdFR;203;int16;3;0;0.0098;0;;CAN A
TcmdRL;206;int16;3;0;0.0098;0;;CAN A
TminRL;206;int16;7;0;0.0098;0;;CAN A
TcmdRR;209;int16;3;0;0.0098;0;;CAN A
TminRR;209;int16;7;0;0.0098;0;;CAN A
enableFlag;221;uint8;1;0;1;0;;CAN A
PCcmd;222;int16;1;0;0.01;0;;CAN A
tempNeumRL1;350;uint16_be;1;0;0.1;-200;t_Neumaticos;CAN C
tempNeumRL2;350;uint16_be;3;0;0.1;-200;t_Neumaticos;CAN C
tempNeumRL3;350;uint16_be;5;0;0.1;-200;t_Neumaticos;CAN C
tempNeumRL4;350;uint16_be;7;0;0.1;-200;t_Neumaticos;CAN C
tempNeumRL5;351;uint16_be;1;0;0.1;-200;t_Neumaticos;CAN C
tempNeumRL6;351;uint16_be;3;0;0.1;-200;t_Neumaticos;CAN C
tempNeumRL7;351;uint16_be;5;0;0.1;-200;t_Neumaticos;CAN C
tempNeumRL8;351;uint16_be;7;0;0.1;-200;t_Neumaticos;CAN C
tempNeumRL9;352;uint16_be;1;0;0.1;-200;t_Neumaticos;CAN C
tempNeumRL10;352;uint16_be;3;0;0.1;-200;t_Neumaticos;CAN C
tempNeumRL11;352;uint16_be;5;0;0.1;-200;t_Neumaticos;CAN C
tempNeumRL12;352;uint16_be;7;0;0.1;-200;t_Neumaticos;CAN C
tempNeumRL13;353;uint16_be;1;0;0.1;-200;t_Neumaticos;CAN C
tempNeumRL14;353;uint16_be;3;0;0.1;-200;t_Neumaticos;CAN C
tempNeumRL15;353;uint16_be;5;0;0.1;-200;t_Neumaticos;CAN C
tempNeumRL16;353;uint16_be;7;0;0.1;-200;t_Neumaticos;CAN C
sampleRateRL;354;uint8;4;0;0.1;-200;;CAN C
tempAmbRL;354;uint8;8;0;0.1;-200;;CAN C
tempNeumRR1;370;uint16_be;1;0;0.1;-200;t_Neumaticos;CAN C
tempNeumRR2;370;uint16_be;3;0;0.1;-200;t_Neumaticos;CAN C
tempNeumRR3;370;uint16_be;5;0;0.1;-200;t_Neumaticos;CAN C
tempNeumRR4;370;uint16_be;7;0;0.1;-200;t_Neumaticos;CAN C
tempNeumRR5;371;uint16_be;1;0;0.1;-200;t_Neumaticos;CAN C
tempNeumRR6;371;uint16_be;3;0;0.1;-200;t_Neumaticos;CAN C
tempNeumRR7;371;uint16_be;5;0;0.1;-200;t_Neumaticos;CAN C
tempNeumRR8;371;uint16_be;7;0;0.1;-200;t_Neumaticos;CAN C
tempNeumRR9;372;uint16_be;1;0;0.1;-200;t_Neumaticos;CAN C
tempNeumRR10;372;uint16_be;3;0;0.1;-200;t_Neumaticos;CAN C
tempNeumRR11;372;uint16_be;5;0;0.1;-200;t_Neumaticos;CAN C
tempNeumRR12;372;uint16_be;7;0;0.1;-200;t_Neumaticos;CAN C
tempNeumRR13;373;uint16_be;1;0;0.1;-200;t_Neumaticos;CAN C
tempNeumRR14;373;uint16_be;3;0;0.1;-200;t_Neumaticos;CAN C
tempNeumRR15;373;uint16_be;5;0;0.1;-200;t_Neumaticos;CAN C
tempNeumRR16;373;uint16_be;7;0;0.1;-200;t_Neumaticos;CAN C
sampleRateRR;374;uint8;4;0;1;0;;CAN C
dv_steering_angle;500;int8;3;0;0.5;0;;CAN A
dv_motor_moment;500;int8;7;0;1;0;;CAN A
TCsrFL;800;int16;1;0;0.1;0;;CAN A
TCsrFR;800;int16;3;0;0.1;0;;CAN A
TCsrRL;800;int16;5;0;0.1;0;;CAN A
TCsrRR;800;int16;7;0;0.1;0;;CAN A
TCfxObjFL;801;int16;1;0;0.01;0;;CAN A
TCfxObjFR;801;int16;3;0;0.01;0;;CAN A
TCfxObjRL;801;int16;5;0;0.01;0;;CAN A
TCfxObjRR;801;int16;7;0;0.01;0;;CAN A
TobjFL;802;int16;1;0;0.01;0;;CAN A
TobjFR;802;int16;3;0;0.01;0;;CAN A
TobjRL;802;int16;5;0;0.01;0;;CAN A
TobjRR;802;int16;7;0;0.01;0;;CAN A
TVoutFL;803;int16;1;0;0.01;0;;CAN A
TVoutFR;803;int16;3;0;0.01;0;;CAN A
TVoutRL;803;int16;5;0;0.01;0;;CAN A
TVoutRR;803;int16;7;0;0.01;0;;CAN A
TCoutFL;804;int16;1;0;0.01;0;;CAN A
TCoutFR;804;int16;3;0;0.01;0;;CAN A
TCoutRL;804;int16;5;0;0.01;0;;CAN A
TCoutRR;804;int16;7;0;0.01;0;;CAN A
PLoutFL;805;int16;1;0;0.01;0;;CAN A
PLoutFR;805;int16;3;0;0.01;0;;CAN A
PLoutRL;805;int16;5;0;0.01;0;;CAN A
PLoutRR;805;int16;7;0;0.01;0;;CAN A
powerEffEst;806;int16;1;0;0.001;0;;CAN A
